id,text,words,ner_tags,cleaned_text,lemmatized_text,gliner_entities,spacy_entities
en-doc5809-sent11,"When Aeneas later traveled to Hades , he called to her ghost but she neither spoke to nor acknowledged him .","['When', 'Aeneas', 'later', 'traveled', 'to', 'Hades', ',', 'he', 'called', 'to', 'her', 'ghost', 'but', 'she', 'neither', 'spoke', 'to', 'nor', 'acknowledged', 'him', '.']","[0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",when aeneas later traveled to hades he called to her ghost but she neither spoke to nor acknowledged him,when aeneas later travel to hade he call to her ghost but she neither speak to nor acknowledge he,"[{'start': 5, 'end': 11, 'text': 'Aeneas', 'label': 'person', 'score': 0.9740482568740845}, {'start': 30, 'end': 35, 'text': 'Hades', 'label': 'location', 'score': 0.9718065857887268}]",[]
en-doc6123-sent45,"On 23 November 1969 he wrote to The Times newspaper saying that the preparation for show trials in Czechoslovakia was "" highly alarming "" .","['On', '23', 'November', '1969', 'he', 'wrote', 'to', 'The', 'Times', 'newspaper', 'saying', 'that', 'the', 'preparation', 'for', 'show', 'trials', 'in', 'Czechoslovakia', 'was', '""', 'highly', 'alarming', '""', '.']","[0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",on 23 november 1969 he wrote to the times newspaper saying that the preparation for show trials in czechoslovakia was highly alarming,on 23 november 1969 he write to the times newspaper say that the preparation for show trial in czechoslovakia be highly alarming,"[{'start': 20, 'end': 22, 'text': 'he', 'label': 'person', 'score': 0.387626975774765}, {'start': 32, 'end': 51, 'text': 'The Times newspaper', 'label': 'organization', 'score': 0.8761429786682129}, {'start': 99, 'end': 113, 'text': 'Czechoslovakia', 'label': 'location', 'score': 0.942474901676178}]","[{'text': 'czechoslovakia', 'start': 99, 'end': 113, 'label': 'LOC'}]"
en-doc5831-sent40,Stephenson 's estimates and organising ability proved to be inferior to those of Locke and the board 's dis-satisfaction led to Stephenson 's resignation .,"['Stephenson', ""'s"", 'estimates', 'and', 'organising', 'ability', 'proved', 'to', 'be', 'inferior', 'to', 'those', 'of', 'Locke', 'and', 'the', 'board', ""'s"", 'dis-satisfaction', 'led', 'to', 'Stephenson', ""'s"", 'resignation', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",stephenson s estimates and organising ability proved to be inferior to those of locke and the board s dis satisfaction led to stephenson s resignation,stephenson s estimate and organise ability prove to be inferior to those of locke and the board s dis satisfaction lead to stephenson s resignation,"[{'start': 0, 'end': 10, 'text': 'Stephenson', 'label': 'person', 'score': 0.9897807836532593}, {'start': 81, 'end': 86, 'text': 'Locke', 'label': 'person', 'score': 0.8761366605758667}, {'start': 95, 'end': 100, 'text': 'board', 'label': 'organization', 'score': 0.7977374196052551}, {'start': 128, 'end': 138, 'text': 'Stephenson', 'label': 'person', 'score': 0.9786401987075806}]","[{'text': 'stephenson s', 'start': 0, 'end': 12, 'label': 'PER'}, {'text': 'the board s dis satisfaction', 'start': 90, 'end': 118, 'label': 'ORG'}]"
en-doc6189-sent73,France then postponed a visit by Sharon .,"['France', 'then', 'postponed', 'a', 'visit', 'by', 'Sharon', '.']","[1, 0, 0, 0, 0, 0, 2, 0]",france then postponed a visit by sharon,france then postpone a visit by sharon,"[{'start': 0, 'end': 6, 'text': 'France', 'label': 'location', 'score': 0.963003396987915}, {'start': 33, 'end': 39, 'text': 'Sharon', 'label': 'person', 'score': 0.9846070408821106}]","[{'text': 'france', 'start': 0, 'end': 6, 'label': 'LOC'}, {'text': 'sharon', 'start': 33, 'end': 39, 'label': 'PER'}]"
en-doc6139-sent18,"Only twenty-seven years old at his death , Moseley could in many scientists ' opinions have contributed a lot to the knowledge of atomic structure had he survived .","['Only', 'twenty-seven', 'years', 'old', 'at', 'his', 'death', ',', 'Moseley', 'could', 'in', 'many', 'scientists', ""'"", 'opinions', 'have', 'contributed', 'a', 'lot', 'to', 'the', 'knowledge', 'of', 'atomic', 'structure', 'had', 'he', 'survived', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",only twenty seven years old at his death moseley could in many scientists opinions have contributed a lot to the knowledge of atomic structure had he survived,only twenty seven year old at his death moseley could in many scientist opinion have contribute a lot to the knowledge of atomic structure have he survive,"[{'start': 43, 'end': 50, 'text': 'Moseley', 'label': 'person', 'score': 0.9711224436759949}, {'start': 65, 'end': 75, 'text': 'scientists', 'label': 'organization', 'score': 0.49790245294570923}]",[]
en-doc6213-sent34,"In 1891 , however , Max Wolf pioneered the use of astrophotography to detect asteroids , which appeared as short streaks on long-exposure photographic plates .","['In', '1891', ',', 'however', ',', 'Max', 'Wolf', 'pioneered', 'the', 'use', 'of', 'astrophotography', 'to', 'detect', 'asteroids', ',', 'which', 'appeared', 'as', 'short', 'streaks', 'on', 'long-exposure', 'photographic', 'plates', '.']","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",in 1891 however max wolf pioneered the use of astrophotography to detect asteroids which appeared as short streaks on long exposure photographic plates,in 1891 however max wolf pioneer the use of astrophotography to detect asteroid which appear as short streak on long exposure photographic plate,"[{'start': 20, 'end': 28, 'text': 'Max Wolf', 'label': 'person', 'score': 0.9901381731033325}, {'start': 50, 'end': 66, 'text': 'astrophotography', 'label': 'organization', 'score': 0.3001668453216553}, {'start': 77, 'end': 86, 'text': 'asteroids', 'label': 'location', 'score': 0.48555558919906616}]","[{'text': 'max wolf', 'start': 16, 'end': 24, 'label': 'PER'}]"
en-doc6311-sent11,"Although precursors to this table exist , its invention is generally credited to Russian chemist Dmitri Mendeleev in 1869 .","['Although', 'precursors', 'to', 'this', 'table', 'exist', ',', 'its', 'invention', 'is', 'generally', 'credited', 'to', 'Russian', 'chemist', 'Dmitri', 'Mendeleev', 'in', '1869', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]",although precursors to this table exist its invention is generally credited to russian chemist dmitri mendeleev in 1869,although precursor to this table exist its invention be generally credit to russian chemist dmitri mendeleev in 1869,"[{'start': 81, 'end': 88, 'text': 'Russian', 'label': 'location', 'score': 0.5957056283950806}, {'start': 97, 'end': 113, 'text': 'Dmitri Mendeleev', 'label': 'person', 'score': 0.9796044826507568}]","[{'text': 'russian', 'start': 79, 'end': 86, 'label': 'MISC'}]"
en-doc6259-sent37,Almost all of Bede 's information regarding Augustine is taken from these letters .,"['Almost', 'all', 'of', 'Bede', ""'s"", 'information', 'regarding', 'Augustine', 'is', 'taken', 'from', 'these', 'letters', '.']","[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",almost all of bede s information regarding augustine is taken from these letters,almost all of bede s information regard augustine be take from these letter,"[{'start': 14, 'end': 18, 'text': 'Bede', 'label': 'person', 'score': 0.9615631699562073}, {'start': 44, 'end': 53, 'text': 'Augustine', 'label': 'person', 'score': 0.9242871999740601}]",[]
en-doc6079-sent0,"Among them Tamil , Telugu , Kannada and Malayalam are the members with the most speakers .","['Among', 'them', 'Tamil', ',', 'Telugu', ',', 'Kannada', 'and', 'Malayalam', 'are', 'the', 'members', 'with', 'the', 'most', 'speakers', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",among them tamil telugu kannada and malayalam are the members with the most speakers,among they tamil telugu kannada and malayalam be the member with the most speaker,[],"[{'text': 'kannada', 'start': 24, 'end': 31, 'label': 'PER'}]"
en-doc5917-sent53,"Super Aguri started the season using a modified Honda Racing RA106 chassis ( used by Honda in the 2006 season ) , while Scuderia Toro Rosso used a modified Red Bull Racing RB3 chassis ( same as the one used by Red Bull in the 2007 season ) .","['Super', 'Aguri', 'started', 'the', 'season', 'using', 'a', 'modified', 'Honda', 'Racing', 'RA106', 'chassis', '(', 'used', 'by', 'Honda', 'in', 'the', '2006', 'season', ')', ',', 'while', 'Scuderia', 'Toro', 'Rosso', 'used', 'a', 'modified', 'Red', 'Bull', 'Racing', 'RB3', 'chassis', '(', 'same', 'as', 'the', 'one', 'used', 'by', 'Red', 'Bull', 'in', 'the', '2007', 'season', ')', '.']","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0]",super aguri started the season using a modified honda racing ra106 chassis used by honda in the 2006 season while scuderia toro rosso used a modified red bull racing rb3 chassis same as the one used by red bull in the 2007 season,super aguri start the season use a modified honda race ra106 chassi use by honda in the 2006 season while scuderia toro rosso use a modify red bull race rb3 chassis same as the one use by red bull in the 2007 season,"[{'start': 0, 'end': 11, 'text': 'Super Aguri', 'label': 'person', 'score': 0.9151246547698975}, {'start': 48, 'end': 60, 'text': 'Honda Racing', 'label': 'organization', 'score': 0.8595588207244873}, {'start': 120, 'end': 139, 'text': 'Scuderia Toro Rosso', 'label': 'organization', 'score': 0.9578661918640137}, {'start': 156, 'end': 171, 'text': 'Red Bull Racing', 'label': 'organization', 'score': 0.8277790546417236}, {'start': 210, 'end': 218, 'text': 'Red Bull', 'label': 'organization', 'score': 0.3290803134441376}]","[{'text': 'scuderia toro', 'start': 114, 'end': 127, 'label': 'ORG'}]"
