id,words,ner_tags,text,cleaned_text,lemmatized_text
en-doc5809-sent11,"['When' 'Aeneas' 'later' 'traveled' 'to' 'Hades' ',' 'he' 'called' 'to'
 'her' 'ghost' 'but' 'she' 'neither' 'spoke' 'to' 'nor' 'acknowledged'
 'him' '.']",[0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"When Aeneas later traveled to Hades , he called to her ghost but she neither spoke to nor acknowledged him .",when aeneas later traveled to hades he called to her ghost but she neither spoke to nor acknowledged him,when aeneas later travel to hade he call to her ghost but she neither speak to nor acknowledge he
en-doc6123-sent45,"['On' '23' 'November' '1969' 'he' 'wrote' 'to' 'The' 'Times' 'newspaper'
 'saying' 'that' 'the' 'preparation' 'for' 'show' 'trials' 'in'
 'Czechoslovakia' 'was' '""' 'highly' 'alarming' '""' '.']",[0 0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],"On 23 November 1969 he wrote to The Times newspaper saying that the preparation for show trials in Czechoslovakia was "" highly alarming "" .",on 23 november 1969 he wrote to the times newspaper saying that the preparation for show trials in czechoslovakia was highly alarming,on 23 november 1969 he write to the times newspaper say that the preparation for show trial in czechoslovakia be highly alarming
en-doc5831-sent40,"['Stephenson' ""'s"" 'estimates' 'and' 'organising' 'ability' 'proved' 'to'
 'be' 'inferior' 'to' 'those' 'of' 'Locke' 'and' 'the' 'board' ""'s""
 'dis-satisfaction' 'led' 'to' 'Stephenson' ""'s"" 'resignation' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0],Stephenson 's estimates and organising ability proved to be inferior to those of Locke and the board 's dis-satisfaction led to Stephenson 's resignation .,stephenson s estimates and organising ability proved to be inferior to those of locke and the board s dis satisfaction led to stephenson s resignation,stephenson s estimate and organise ability prove to be inferior to those of locke and the board s dis satisfaction lead to stephenson s resignation
en-doc6189-sent73,['France' 'then' 'postponed' 'a' 'visit' 'by' 'Sharon' '.'],[1 0 0 0 0 0 2 0],France then postponed a visit by Sharon .,france then postponed a visit by sharon,france then postpone a visit by sharon
en-doc6139-sent18,"['Only' 'twenty-seven' 'years' 'old' 'at' 'his' 'death' ',' 'Moseley'
 'could' 'in' 'many' 'scientists' ""'"" 'opinions' 'have' 'contributed' 'a'
 'lot' 'to' 'the' 'knowledge' 'of' 'atomic' 'structure' 'had' 'he'
 'survived' '.']",[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Only twenty-seven years old at his death , Moseley could in many scientists ' opinions have contributed a lot to the knowledge of atomic structure had he survived .",only twenty seven years old at his death moseley could in many scientists opinions have contributed a lot to the knowledge of atomic structure had he survived,only twenty seven year old at his death moseley could in many scientist opinion have contribute a lot to the knowledge of atomic structure have he survive
en-doc6213-sent34,"['In' '1891' ',' 'however' ',' 'Max' 'Wolf' 'pioneered' 'the' 'use' 'of'
 'astrophotography' 'to' 'detect' 'asteroids' ',' 'which' 'appeared' 'as'
 'short' 'streaks' 'on' 'long-exposure' 'photographic' 'plates' '.']",[0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In 1891 , however , Max Wolf pioneered the use of astrophotography to detect asteroids , which appeared as short streaks on long-exposure photographic plates .",in 1891 however max wolf pioneered the use of astrophotography to detect asteroids which appeared as short streaks on long exposure photographic plates,in 1891 however max wolf pioneer the use of astrophotography to detect asteroid which appear as short streak on long exposure photographic plate
en-doc6311-sent11,"['Although' 'precursors' 'to' 'this' 'table' 'exist' ',' 'its' 'invention'
 'is' 'generally' 'credited' 'to' 'Russian' 'chemist' 'Dmitri' 'Mendeleev'
 'in' '1869' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0],"Although precursors to this table exist , its invention is generally credited to Russian chemist Dmitri Mendeleev in 1869 .",although precursors to this table exist its invention is generally credited to russian chemist dmitri mendeleev in 1869,although precursor to this table exist its invention be generally credit to russian chemist dmitri mendeleev in 1869
en-doc6259-sent37,"['Almost' 'all' 'of' 'Bede' ""'s"" 'information' 'regarding' 'Augustine'
 'is' 'taken' 'from' 'these' 'letters' '.']",[0 0 0 2 0 0 0 2 0 0 0 0 0 0],Almost all of Bede 's information regarding Augustine is taken from these letters .,almost all of bede s information regarding augustine is taken from these letters,almost all of bede s information regard augustine be take from these letter
en-doc6079-sent0,"['Among' 'them' 'Tamil' ',' 'Telugu' ',' 'Kannada' 'and' 'Malayalam' 'are'
 'the' 'members' 'with' 'the' 'most' 'speakers' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Among them Tamil , Telugu , Kannada and Malayalam are the members with the most speakers .",among them tamil telugu kannada and malayalam are the members with the most speakers,among they tamil telugu kannada and malayalam be the member with the most speaker
en-doc5917-sent53,"['Super' 'Aguri' 'started' 'the' 'season' 'using' 'a' 'modified' 'Honda'
 'Racing' 'RA106' 'chassis' '(' 'used' 'by' 'Honda' 'in' 'the' '2006'
 'season' ')' ',' 'while' 'Scuderia' 'Toro' 'Rosso' 'used' 'a' 'modified'
 'Red' 'Bull' 'Racing' 'RB3' 'chassis' '(' 'same' 'as' 'the' 'one' 'used'
 'by' 'Red' 'Bull' 'in' 'the' '2007' 'season' ')' '.']","[4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 4 4 0 0 0 0 0 0]","Super Aguri started the season using a modified Honda Racing RA106 chassis ( used by Honda in the 2006 season ) , while Scuderia Toro Rosso used a modified Red Bull Racing RB3 chassis ( same as the one used by Red Bull in the 2007 season ) .",super aguri started the season using a modified honda racing ra106 chassis used by honda in the 2006 season while scuderia toro rosso used a modified red bull racing rb3 chassis same as the one used by red bull in the 2007 season,super aguri start the season use a modified honda race ra106 chassi use by honda in the 2006 season while scuderia toro rosso use a modify red bull race rb3 chassis same as the one use by red bull in the 2007 season
