id,words,ner_tags,text
en-doc5809-sent11,"['When' 'Aeneas' 'later' 'traveled' 'to' 'Hades' ',' 'he' 'called' 'to'
 'her' 'ghost' 'but' 'she' 'neither' 'spoke' 'to' 'nor' 'acknowledged'
 'him' '.']",[0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"When Aeneas later traveled to Hades , he called to her ghost but she neither spoke to nor acknowledged him ."
en-doc6123-sent45,"['On' '23' 'November' '1969' 'he' 'wrote' 'to' 'The' 'Times' 'newspaper'
 'saying' 'that' 'the' 'preparation' 'for' 'show' 'trials' 'in'
 'Czechoslovakia' 'was' '""' 'highly' 'alarming' '""' '.']",[0 0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],"On 23 November 1969 he wrote to The Times newspaper saying that the preparation for show trials in Czechoslovakia was "" highly alarming "" ."
en-doc5831-sent40,"['Stephenson' ""'s"" 'estimates' 'and' 'organising' 'ability' 'proved' 'to'
 'be' 'inferior' 'to' 'those' 'of' 'Locke' 'and' 'the' 'board' ""'s""
 'dis-satisfaction' 'led' 'to' 'Stephenson' ""'s"" 'resignation' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0],Stephenson 's estimates and organising ability proved to be inferior to those of Locke and the board 's dis-satisfaction led to Stephenson 's resignation .
en-doc6189-sent73,['France' 'then' 'postponed' 'a' 'visit' 'by' 'Sharon' '.'],[1 0 0 0 0 0 2 0],France then postponed a visit by Sharon .
en-doc6139-sent18,"['Only' 'twenty-seven' 'years' 'old' 'at' 'his' 'death' ',' 'Moseley'
 'could' 'in' 'many' 'scientists' ""'"" 'opinions' 'have' 'contributed' 'a'
 'lot' 'to' 'the' 'knowledge' 'of' 'atomic' 'structure' 'had' 'he'
 'survived' '.']",[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Only twenty-seven years old at his death , Moseley could in many scientists ' opinions have contributed a lot to the knowledge of atomic structure had he survived ."
en-doc6213-sent34,"['In' '1891' ',' 'however' ',' 'Max' 'Wolf' 'pioneered' 'the' 'use' 'of'
 'astrophotography' 'to' 'detect' 'asteroids' ',' 'which' 'appeared' 'as'
 'short' 'streaks' 'on' 'long-exposure' 'photographic' 'plates' '.']",[0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In 1891 , however , Max Wolf pioneered the use of astrophotography to detect asteroids , which appeared as short streaks on long-exposure photographic plates ."
en-doc6311-sent11,"['Although' 'precursors' 'to' 'this' 'table' 'exist' ',' 'its' 'invention'
 'is' 'generally' 'credited' 'to' 'Russian' 'chemist' 'Dmitri' 'Mendeleev'
 'in' '1869' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0],"Although precursors to this table exist , its invention is generally credited to Russian chemist Dmitri Mendeleev in 1869 ."
en-doc6259-sent37,"['Almost' 'all' 'of' 'Bede' ""'s"" 'information' 'regarding' 'Augustine'
 'is' 'taken' 'from' 'these' 'letters' '.']",[0 0 0 2 0 0 0 2 0 0 0 0 0 0],Almost all of Bede 's information regarding Augustine is taken from these letters .
en-doc6079-sent0,"['Among' 'them' 'Tamil' ',' 'Telugu' ',' 'Kannada' 'and' 'Malayalam' 'are'
 'the' 'members' 'with' 'the' 'most' 'speakers' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Among them Tamil , Telugu , Kannada and Malayalam are the members with the most speakers ."
en-doc5917-sent53,"['Super' 'Aguri' 'started' 'the' 'season' 'using' 'a' 'modified' 'Honda'
 'Racing' 'RA106' 'chassis' '(' 'used' 'by' 'Honda' 'in' 'the' '2006'
 'season' ')' ',' 'while' 'Scuderia' 'Toro' 'Rosso' 'used' 'a' 'modified'
 'Red' 'Bull' 'Racing' 'RB3' 'chassis' '(' 'same' 'as' 'the' 'one' 'used'
 'by' 'Red' 'Bull' 'in' 'the' '2007' 'season' ')' '.']","[4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 4 4 0 0 0 0 0 0]","Super Aguri started the season using a modified Honda Racing RA106 chassis ( used by Honda in the 2006 season ) , while Scuderia Toro Rosso used a modified Red Bull Racing RB3 chassis ( same as the one used by Red Bull in the 2007 season ) ."
